Arthur J. Lei's Film List,,,,,,
,,,,,,
Title,Date,Note,Film Index/Counter,Note,Genre,Sequel/Prequel Status
ET: The Extra-Terrestrial,Unknown,,125,,,
Eternal Sunshine of the Spotless Mind,Time of Release,,126,,,
Evil Under the Sun,Unknown,,127,,,
Evolution,Time of Release,,128,,,
Excalibur,Summer 2004,,129,,,
Face-Off,Winter 1998,,130,,,
Fantasia,Unknown,,131,,,
Farenheit 9/11,Time of Release,,132,,,
Fargo,Summer 2004,,133,,,
Ferris Bueller's Day Off,May 2003,,134,,,
Final Fantasy: The Movie,Time of Release,,135,,,
Finding Nemo,Summer 2004,,136,,,
For a Few Dollars More,Unknown,,137,,,
For Your Eyes Only,Summer 2005,,138,,,
Forbidden Planet,Unknown,,139,,,
"From Russia, With Love",Summer 2005,,140,,,
Gattaca,Fall 2001,,141,,,
Get Shorty,Summer 2004,,142,,,
Ghost in the Shell,Early 2000s,,143,,,
Ghostbusters,Unknown,,144,,,
Ghostbusters II,Unknown,,145,,,
Gladiator,Early 2000s,,146,,,
Glory,Early 2000s,,147,,,
G-Men,Fall 2001,,148,,,
Godzilla (1985),Early 1990s,,149,,,
Godzilla (1998),Time of Release,,150,,,
Godzilla 2000,Time of Release,,151,,,
Godzilla vs. Biolante,Unknown,,152,,,
Godzilla vs. Gigan,Mid 1990s,,153,,,
Godzilla vs. Mecha-Godzilla,Mid 1990s,,154,,,
Godzilla vs. Megalon,Mid 1990s,,155,,,
Goldeneye,Fall 1998,,156,,,
Goldfinger,Summer 2004,,157,,,
Gone With The Wind,Summer 2004,,158,,,
Goodfellas,Fall 2004,,159,,,
Grease,Late 1990s,,160,,,
Gremlins,Late 1990s,,161,,,
Gremlins 2,Late 1990s,,162,,,
Grumpy Old Men,Mid 1990s,,163,,,
Guess Who's Coming to Dinner,Unknown,,164,,,
Happy Gilmore,Unknown,,165,,,
Hard-Boiled,Summer 2005,,166,,,
Harvey,Unknown,,167,,,
Hellboy,Time of Release,,168,,,
Hero,Time of Release,,169,,,
Hidalgo,Unknown,,170,,,
Hidden Fortress,Unknown,,171,,,
High Noon,Unknown,,172,,,
His Girl Friday,Unknown,,173,,,
Home Alone,Unknown,,174,,,
"Honey, I Shrunk the Kids",Unknown,,175,,,
How The West Was Won,Late 1990s,,176,,,
I Like Trouble,Late 1990s,,177,,,
"I, Robot",Time of Release,,178,,,
Imitation of Life,Spring 2005,,179,,,
In America,Time of Release,,180,,,
In the Heat of the Night,Spring 2005,,181,,,
Independence Day,Time of Release,,182,,,
Indian Jones and the Last Crusade,Late 1990s,,183,,,
Indiana Jones and the Temple of Doom,Early 1990s,,184,,,
Inherit the Wind,Spring 2005,,185,,,
Iron Monkey,Time of Release,,186,,,
It Happened One Night,Summer 2004,,187,,,
"It's A Mad, Mad World",Late 1990s,,188,,,
Jack,Late 1990s,,189,,,
Jackie Brown,Summer 2004,,190,,,
James and the Giant Peach,Time of Release,,191,,,
Jason and the Argonauts,Unknown,,192,,,
Jaws,Late 1990s,,193,,,
Jingle All The Way,Winter 1997,,194,,,
Joe Somebody,Early 2000s,,195,,,
Judgement at Nuremberg,Early 2000s,,196,,,
Jungle to Jungle,Late 1990s,,197,,,
Jurassic Park,Time of Release,,198,,,
Jurassic Park III,Time of Release,,199,,,
Kagemushu,June 2005,,200,,,
Key Largo,Unknown,,201,,,
"Kill Bill, vol 1",Time of Release,,202,,,
"Kill Bill, vol 2",Time of Release,,203,,,
King Arthur,Time of Release,,204,,,
King Kong (1933),"Unknown (Really, really early 1990s perhaps)",,205,,,
Kinsey,Time of Release,,206,,,
Kiss Me Deadly,Summer 2004,,207,,,
Kundun,Late 1990s,,208,,,
LA Confidential,Summer 2004,,209,,,
"Lara Croft, Tomb Raider, the Cradle of Life",Summer 2005,,210,,,
Laura,Summer 2004,,211,,,
Lawrence of Arabia,Early 2000s,,212,,,
League of Extraordinary Gentlemen,Time of Release,,213,,,
Leon The Professional (Film 560),Summer 2005,,214,,,
Life is Beautiful,Middle School,,215,,,
Lillies of the Field,High School,,216,,,
Lost Horizon,Middle School,,217,,,
Lost in Space,Time of Release,,218,,,
Lost in Translation,High School,,219,,,
Lust for Life,High School,,220,,,
Mafia,Middle School,,221,,,
Magnolia,Summer 2005,,222,,,
Magnum Force,Summer 2004,,223,,,
Maria Full of Grace,Time of Release,,224,,,
Marty,High School,,225,,,
Mary Poppins,Elementary School,,226,,,
MASH,High School,,227,,,
Matchstick Men,Time of Release,,228,,,
Matilda,Time of Release,,229,,,
Matrix Reloaded,Time of Release,,230,,,
Mean Girls,Time of Release,,231,,,
Memento,Summer 2005,,232,,,
Men in Black,Time of Release,,233,,,
Men in Black II,Time of Release,,234,,,
Metropolis (1927),Summer 2005,,235,,,
Michael,,,236,,,
Million-Dollar Baby,,,237,,,
Minority Report,,,238,,,
Miss Congeniality,,,239,,,
Mission Impossible,,,240,,,
Mission Impossible II,,,241,,,
Mission to Mars,,,242,,,
Mister Roberts,,,243,,,
Monster,,,244,,,
"Monsters, Inc.",,,245,,,
Monty Python and the Holy Grail,,,246,,,
Mr. Nice Guy,,,247,,,
Mr. Smith Goes to Washington,,,248,,,
Mrs. Doubtfire,,,249,,,
Mulholland Drive,,,250,,,
Murder on the Orient Express,,,251,,,
"Murder, My Sweet",,,252,,,
My Darling Clementine,,,253,,,
My Fair Lady,,,254,,,
My Left Foot,,,255,,,
My Man Godfrey,,,256,,,
Mystery Men,,,257,,,
Mystic River,,,258,,,
National Lampoon's Christmas Vacation,,,259,,,
Network,,,260,,,
Newsies,,,261,,,
Night of the Hunter,,,262,,,
Night of the Living Dead,,,263,,,
Nobody Knows My Name,,,264,,,
North by Northwest,,,265,,,
Notorious,,,266,,,
"O, Brother Where Art Thou?",,,267,,,
Ocean's 11 (The Remake),,,268,,,
Ocean's 12,,,269,,,
Oh God,,,270,,,
On the Waterfront,,,271,,,
Once Upon A Time In America,,,272,,,
Once Upon A Time in China,,,273,,,
Once Upon A Time in China and America,,,274,,,
Once Upon A Time In China II,,,275,,,
Once Upon A Time in China III,,,276,,,
Once Upon A Time In Mexico,,,277,,,
Once Upon A Time In the West,,,278,,,
Our Hospitality,,,279,,,
Out of Sight,,,280,,,
Out of the Past,,,281,,,
Papillon,,,282,,,
Paths of Glory,,,283,,,
Patton,,,284,,,
Pi,,,285,,,
Pinocchio,,,286,,,
Pirates of the Caribbean,,,287,,,
Pitch Black,,,288,,,
Planet of the Apes (Original),,,289,,,
Planet of the Apes (Remake),,,290,,,
Pleasantville,,,291,,,
Princess Mononoke,,,292,,,
Project A,,,293,,,
Psycho,,,294,,,
Pulp Fiction,,,295,,,
Quo Vadis,,,296,,,
Raiders of the Lost Ark,,,297,,,
Ran,,,298,,,
Rashomon,,,299,,,
Rear Window,,,300,,,
Remember the Titans,,,301,,,
Resevoir Dogs,,,302,,,
Resident Evil ,,,303,,,
Revenge of the Creature From the Black Lagoon,,,304,,,
Rififfi,,,305,,,
Rio Bravo,,,306,,,
Road to Perdition,,,307,,,
Robocop,,,308,,,
Robocop 3,,,309,,,
Rocky I,,,310,,,
Rocky II,,,311,,,
Rocky III,,,312,,,
Romeo and Juliet ,,,313,,,
Rush Hour,,,314,,,
Rush Hour 2,,,315,,,
Saboteur,,,316,,,
Sanjuro,,,317,,,
Saving Private Ryan,,,318,,,
Scarface (1932),,,319,,,
Scarface (1983),,,320,,,
Seven Samurai,,,321,,,
Seven Years In Tibet,,,322,,,
Shane,,,323,,,
Shanghai Knights,,,324,,,
Shanghai Noon,,,325,,,
Shaun of the Dead,,,326,,,
She,,,327,,,
Sherlock Holmes and The Secret Weapon,,,328,,,
"Sherlock, Jr.",,,329,,,
Shrek,,,330,,,
Shrek 2,,,331,,,
Sideways,,,332,,,
Signs,,,333,,,
Singin' in the Rain,,,334,,,
Sister Act,,,335,,,
Sky Captain and the World of Tomorrow,,,336,,,
Sleeper,,,337,,,
Sleepy Hollow,,,338,,,
Snake in Eagle's Shadow,,,339,,,
Some Like it Hot,,,340,,,
Space Cowboys,,,341,,,
Spaceballs,,,342,,,
Spartacus,,,343,,,
Spartan,,,344,,,
Spiderman,,,345,,,
Spiderman 2,,,346,,,
Spirited Away,,,347,,,
Stage Coach,,,348,,,
Stalag 17,,,349,,,
Stand and Deliver,,,350,,,
Star Trek: Insurrection,,,351,,,
Star Wars: A New Hope,,,352,,,
Star Wars: Attack of the Clones,,,353,,,
Star Wars: The Empire Strikes Back,,,354,,,
Star Wars: The Phantom Menace,,,355,,,
Star Wars: The Return of the Jedi,,,356,,,
Sudden Impact,,,357,,,
"Suddenly, Last Summer",,,358,,,
Sullivan's Travels,,,359,,,
Sunset Boulevard,,,360,,,
Super Cop ,,,361,,,
Super Cop II,,,362,,,
Super Size Me,,,363,,,
Superman ,,,364,,,
Superman II,,,365,,,
Superman III,,,366,,,
Superman IV,,,367,,,
T2: Judgment Day,,,368,,,
T3: Rise of the Machines,,,369,,,
Tarzan: The Legend of Greystoke,,,370,,,
Team America,,,371,,,
Teenage Mutant Ninja Turtles,,,372,,,
Terror By Night,,,373,,,
The Accidental Spy,,,374,,,
The Adventures of Captain Marvel,,,375,,,
The African Queen,,,376,,,
The Apartment,,,377,,,
The Asphalt Jungle,,,378,,,
The Aviator,,,379,,,
The Big Heat,,,380,,,
The Big Red One,,,381,,,
The Big Sleep,,,382,,,
The Blob,,,383,,,
The Boondock Saints,,,384,,,
The Bourne Identity,,,385,,,
The Bourne Supremacy,,,386,,,
The Brotherhood of the Wolf,,,387,,,
The Caine Mutiny,,,388,,,
The Clearing,,,389,,,
The Corporation,,,390,,,
The Cotton Club,,,391,,,
The Creature From The Black Lagoon,,,392,,,
The Day The Earth Stood Still,,,393,,,
The Dirty Dozen,,,394,,,
The Enforcer ,,,395,,,
The Exorcist,,,396,,,
The FBI Story,,,397,,,
The Fifth Element,,,398,,,
The Flight of the Phoenix,,,399,,,
The Fog of War,,,400,,,
The General ,,,401,,,
The Godfather,,,402,,,
"The Godfather, Part II",,,403,,,
"The Godfather, Part III",,,404,,,
"The Good, the Bad, and the Ugly",,,405,,,
The Graduate,,,406,,,
The Great Dictator,,,407,,,
The Great Escape,,,408,,,
The Great Mouse Detective,,,409,,,
The Great Train Robbery,,,410,,,
The Great White Hope,,,411,,,
The Green Mile,,,412,,,
The Guns of Navarone,,,413,,,
The Hobbit,,,414,,,
The Horse's Mouth,,,415,,,
The Hound of the Baskervilles (1940),,,416,,,
The Hound of the Baskervilles (1959),,,417,,,
The Hours,,,418,,,
The Hulk,,,419,,,
The Incredibles,,,420,,,
The Invasion of the Body Snatchers,,,421,,,
The Jungle Book,,,422,,,
The Kid Stays In the Picture,,,423,,,
The Killers ,,,424,,,
The Kiss of the Dragon,,,425,,,
The Lady in the Lake,,,426,,,
The Lady Vanishes,,,427,,,
The Land Before Time,,,428,,,
The Last Emperor,,,429,,,
The Last Samurai,,,430,,,
The Last Temptation of Christ,,,431,,,
The Legend of Drunken Master,,,432,,,
The Life of Brian,,,433,,,
The Lion King,,,434,,,
The Little Mermaid,,,435,,,
The Little Tramp et all of Chaplin's Shorts,,,436,,,
The Littlest Viking,,,437,,,
The Living Daylights,,,438,,,
The Long Goodbye,,,439,,,
The Longest Day,,,440,,,
The Lord of the Rings (Animated),,,441,,,
The Lord of the Rings (The Whole Trilogy),,,442,,,
The Lost World ,,,443,,,
The Lost World (1925),,,444,,,
The Magnificent Seven,,,445,,,
The Maltese Falcon,,,446,,,
The Man in White,,,447,,,
The Man Who Wasn't There,,,448,,,
The Man Who Would Be King,,,449,,,
The Man with The Golden Gun,,,450,,,
The Manchurian Candidate,,,451,,,
The Manchurian Candidate (Remake),,,452,,,
The Mask of Fu Manchu,,,453,,,
The Mask of Zorro,,,454,,,
The Masked Marvel,,,455,,,
The Master,,,456,,,
The Matrix ,,,457,,,
The Matrix Revolutions,,,458,,,
The Medallion,,,459,,,
The Mighty Ducks,,,460,,,
The Mothman Prophecies,,,461,,,
The Mummy ,,,462,,,
The Mummy (1935),,,463,,,
The Mummy Returns,,,464,,,
The Neverending Story,,,465,,,
The Neverending Story II,,,466,,,
The Neverending Story III,,,467,,,
The Odd Couple,,,468,,,
The Odd Couple II,,,469,,,
The One,,,470,,,
The Outlaw Josey Wales,,,471,,,
The Pearl of Death,,,472,,,
The Petrified Forest,,,473,,,
The Pink Panther,,,474,,,
The Power of One,,,475,,,
The Private Life of Sherlock Holmes,,,476,,,
The Producers,,,477,,,
The Reivers,,,478,,,
The Return of the Magnificent Seven,,,479,,,
The Return of the Pink Panther,,,480,,,
The Rock,,,481,,,
The Scarlet Claw,,,482,,,
The Searchers,,,483,,,
The Secret Life of Walter Mitty,,,484,,,
The Seventh Seal,,,485,,,
The Shadow,,,486,,,
The Shootist,,,487,,,
The Silence of the Lambs,,,488,,,
The Sixth Day,,,489,,,
The Sixth Sense,,,490,,,
The Son of the Pink Panther,,,491,,,
The Spy Who Loved Me,,,492,,,
The Sting,,,493,,,
The Strange of Case of Dr. Jekyll and Mr. Hyde (Tracy),,,494,,,
The Sunshine Boys,,,495,,,
The Terminal,,,496,,,
The Terminator,,,497,,,
The Thin Man,,,498,,,
The Thing From Another World,,,499,,,
The Third Man,,,500,,,
The Triumph of Sherlock Holmes,,,501,,,
The Tuxedo,,,502,,,
The Untouchables,,,503,,,
The Usual Suspects,,,504,,,
The Wild Bunch,,,505,,,
The Winslow Boy,,,506,,,
The Wizard of Oz,,,507,,,
The Woman in Green,,,508,,,
The World is Not Enough,,,509,,,
The X-Files Movie,,,510,,,
Them,,,511,,,
Things to Come,,,512,,,
Thirteen Days,,,513,,,
This Gun For Hire,,,514,,,
Three Godfathers,,,515,,,
Thumb Wars,,,516,,,
THX-1138,,,517,,,
Time Bandits,,,518,,,
Titan AE,,,519,,,
Titanic,,,520,,,
To Be or Not to Be,,,521,,,
To Catch A Thief,,,522,,,
To Have and Have Not,,,523,,,
To Kill A Mockingbird,,,524,,,
Tomb Raider,,,525,,,
Tomorrow Never Dies,,,526,,,
Tootsie,,,527,,,
Topper,,,528,,,
Tora! Tora! Tora!,,,529,,,
Touch of Evil,,,530,,,
Toy Story,,,531,,,
Toy Story 2,,,532,,,
Traffic,,,533,,,
Treasure of Sierra Madre,,,534,,,
Troy,,,535,,,
True Grit,,,536,,,
True Romance,,,537,,,
Twelfth Night,,,538,,,
Twilight Samurai,,,539,,,
Twilight Zone: The Movie,,,540,,,
Two Jakes,,,541,,,
UHF,,,542,,,
Unbreakable ,,,543,,,
Underworld,,,544,,,
Unforgiven,,,545,,,
Vera Cruz,,,546,,,
Vertigo,,,547,,,
Waking Life,,,548,,,
War of the Worlds,,,549,,,
Way of the Dragon,,,550,,,
Whale Rider,,,551,,,
Where Eagles Dare,,,552,,,
Who Am I,,,553,,,
Who Framed Roger Rabbit?,,,554,,,
Wild Wild West,,,555,,,
X-Men,,,556,,,
X-Men 2,,,557,,,
Yellow Submarine,,,558,,,
Yojimbo,,,559,,,
You Only Live Twice,,,560,,,
Young Frankenstein,,,561,,,
Young Mr. Lincoln,,,562,,,
Young Sherlock Holmes,,,563,,,
Sin City,April 2005,,564,,,
Mulholland Falls,May 2005,,565,,,
Hearts in Atlantis,May 2005,,566,,,
Training Day,May 2005,,567,,,
One Flew Over the Cuckoo's Nest,May 2005,,568,,,
The Ladykillers (original),May 2005,,569,,,
Resident Evil: Apocalypse,May 2005,,570,,,
The Hitchhiker's Guide to the Galaxy,May 2005,,571,,,
Kung-Fu Hustle,May 2005,,572,,,
Crash,May 2005,,573,,,
The Interpreter,May 2005,,574,,,
Star Wars: Revenge of the Sith,May 2005,,575,,,
Naitonal Treasure,May 2005,,576,,,
Unleashed,June 2005,,577,,,
Miller's Crossing,June 2005,,578,,,
Batman Begins,June 2005,,579,,,
The 39 Steps,July 2005,,580,,,
War of the Worlds (2005),July 2005,,581,,,
The Quick and the Dead,July 2005,,582,,,
Master and Commander,July 2005,,583,,,
Mr. And Mrs. Smith,July 2005,,584,,,
Frankenstein (1931),July 2005,,585,,,
Saving Face,July 2005,,586,,,
Dark City,July 2005,,587,,,
Bride of Frankenstein,July 2005,,588,,,
From Dusk Till Dawn,July 2005,,589,,,
The March of the Penguins,July 2005,,590,,,
The Island,July 2005,,591,,,
21 Grams,July 2005,,592,,,
Beauty and the Beast (Cocteau version),July 2005,,593,,,
Wedding Crashers,August 2005,,594,,,
Four Rooms,August 2005,,595,,,
Master of the Flying Guillotine,August 2005,,596,,,
Hustle and Flow,August 2005,,597,,,
Moonraker,August 2005,In Durham,598,In Durham,,
Afterlife,August 2005,,599,,,
The Birds,September 2005,,600,,,
Tres Noches,September 2005,,601,,,
Shiri,September 2005,,602,,,
Alien 3,September 2005,,603,,,
Piece Touchee,October 2005,,604,,,
Duck Amuck,October 2005,,605,,,
Secondary Currents: A Film Noir,October 2005,,606,,,
Conventional Space,October 2005,,607,,,
Variations on a Cellophane Wrapper,October 2005,,608,,,
Ballet Mecanique,October 2005,,609,,,
A Movie,October 2005,,610,,,
La Jettee,October 2005,,611,,,
Hardwood Process,October 2005,,612,,,
The Battleship Potemkin,October 2005,,613,,,
The Atomic Café,October 2005,,614,,,
Melinda and Melinda,November 2005,,615,,,
Roger and Me,November 2005,,616,,,
Robot Stories,November 2005,,617,,,
Yellow Earth,November 2005,,618,,,
Good Night and Good Luck,November 2005,,619,,,
Harry Potter and the Goblet of Fire,November 2005,,620,,,
"Lock,Stock and Two Smoking Barrels",November 2005,,621,,,
Syriana,December 2005,,622,,,
Peter Jackson's King Kong,January 2006,,623,,,
Brokeback Mountain,January 2006,,624,,,
Stealth,January 2006,,625,,,
The Devil and Daniel Webster,January 2006,,626,,,
The Transporter,January 2006,,627,,,
Casino,January 2006,,628,,,
Broken Flowers,January 2006,,629,,,
The Shawshank Redemption,January 2006,,630,,,
Harold and Kumar Go To White Castle,January 2006,,631,,,
The Aristocrats,January 2006,,632,,,
The Life Aquatic with Steve Zissou,February 2006,,633,,,
Wallace and Gromit: The Curse of the Were-Rabbit,February 2006,,634,,,
The Constant Gardener,February 2006,,635,,,
Kontroll,February 2006,,636,,,
La Macchina Amazzacattivi,February 2006,"Surreal comedy, parable feel",637,"Surreal comedy, parable feel",,
"Ryan (Short film, Academy Award)",February 2006,,638,,,
"Birthday Boy (Animated short, Academy Award)",February 2006,,639,,,
"Gopher Broke (Animated Short, Academy Award)",February 2006,,640,,,
"Wasp (Short film, Academy Award)",February 2006,,641,,,
"Two Cars, One Night (Short Film, Academy Award)",February 2006,,642,,,
"7:35 de la Manana (Short Film, Academy Award)",February 2006,,643,,,
"Little Terrorist (Short Film, Academy Award)",February 2006,,644,,,
Serenity,March 2006,,645,,,
Me and You and Everyone We Know,March 2006,,646,,,
The 40 Year Old Virgin,March 2006,,647,,,
Luce dei miei occhi,March 2006,,648,,,
Capote,March 2006,,649,,,
Munich,March 2006,,650,,,
United 93,May 2006,First film I saw of the Summer 2006 Season,651,First film I saw of the Summer 2006 Season,,
Mission Impossible III,May 2006,,652,,,
The Da Vinci Code,May 2006,,653,,,
X-Men 3: The Last Stand,May 2006,,654,,,
Prizzi's Honor,May 2006,,655,,,
Ong-Bak: The Thai Warrior,May 2006,,656,,,
A Prairie Home Companion: The Movie,June 2006,,657,,,
Giulietta Degli Spiriti,June 2006,,658,,,
A History of Violence,June 2006,,659,,,
Taxi Driver,June 2006,,660,,,
Shaolin Soccer,June 2006,,661,,,
An Incovenient Truth,July 2006,,662,,,
Everything is Illuminated,July 2006,,663,,,
Superman Returns,July 2006,,664,,,
Silverado,July 2006,,665,,,
The Battle of Algiers,July 2006,,666,,,
Underworld: Evolution,July 2006,,667,,,
Pirates of the Caribbean 2: Dead Man's Chest,July 2006,,668,,,
V for Vendetta,July 2006,,669,,,
Behind Enemy Lines,July 2006,Last movie I saw as a 19 year old,670,Last movie I saw as a 19 year old,,
Baadshah,July 2006,"First movie when I turned 20 on July 23, 2006, First Bollywood flick",671,"First movie when I turned 20 on July 23, 2006, First Bollywood flick",,
In The Mood For Love,July 2006,,672,,,
Murder By Decree,August 2006,First film I saw where Sherlock met Jack,673,First film I saw where Sherlock met Jack,,
Bullitt,August 2006,"First Steve McQueen movie I've seen since I was 20, great car chase",674,"First Steve McQueen movie I've seen since I was 20, great car chase",,
World Trade Center,August 2006,First Oliver Stone film,675,First Oliver Stone film,,
Snatch,August 2006,Second Guy Ritchie Film I've Seen,676,Second Guy Ritchie Film I've Seen,,
Miami Vice,August 2006,Second Michael Mann film I've seen,677,Second Michael Mann film I've seen,,
Inside Man,August 2006,2nd Spike Lee film I've seen,678,2nd Spike Lee film I've seen,,
Punch-Drunk Love,August 2006,,679,,,
Shaft,August 2006,,680,,,
Three Ages (1923),August 2006,,681,,,
The Goat (1921),August 2006,,682,,,
My Wife's Relations (1921),August 2006,,683,,,
Shaft's Big Score,August 2006,,684,,,
Grave of the Fireflies,August 2006,,685,,,
Little Miss Sunshine,August 2006,Last film I saw I a theatre in 2006 Summer movie season,686,Last film I saw I a theatre in 2006 Summer movie season,,
2046,September 2006,,687,,,
Brick,September 2006,,688,,,
Thank You For Smoking,September 2006,,689,,,
La casa con le finistre che ridono,November 2006,,690,,,
Pinocchio,November 2006,My favorite film adaptation of Pinocchio,691,My favorite film adaptation of Pinocchio,,
I Vitelloni,November 2006,First film I watched in 2006 Thanksgiving Break,692,First film I watched in 2006 Thanksgiving Break,,
Alien Resurrection,November 2006,First film I watched the first Thanksgiving from home,693,First film I watched the first Thanksgiving from home,,
City of Lost Children,December 2006,"Film watched during Epic Library Stay, Third film I can remember with Ron Perlman",694,"Film watched during Epic Library Stay, Third film I can remember with Ron Perlman",,
Casino Royale (2006),December 2006,"First Bond film I've seen that I really really liked, third film I've seen with Daniel Craig",695,"First Bond film I've seen that I really really liked, third film I've seen with Daniel Craig",,
Ultraviolet,December 2006,Fourth film I've seen with Milla Jovovich,696,Fourth film I've seen with Milla Jovovich,,
Apocalypto,December 2006,First film I recall seeing that was directed by Mel Gibson,697,First film I recall seeing that was directed by Mel Gibson,,
The Good Shepherd,December 2006,First film I've seen directed by Robert DeNiro,698,First film I've seen directed by Robert DeNiro,,
Ghost in the Shell 2: Innocence,December 2006,Second Japanese animated film I watched in its original language,699,Second Japanese animated film I watched in its original language,,
Total Recall,January 2007,New Year's Film,700,New Year's Film,,
The Brothers Grimm,January 2007,"Fourth Terry Gilliam film I've seen, first film I saw on Blu-Ray DVD",701,"Fourth Terry Gilliam film I've seen, first film I saw on Blu-Ray DVD",,
Stray Dog,January 2007,First Kurosawa film I've seen that was not set in Feudal Japan,702,First Kurosawa film I've seen that was not set in Feudal Japan,,
